1230791,36.41,-15996,-6520,796
1230808,34.85,-16440,-6012,728
1230825,34.08,-17876,-6028,536
1230842,33.80,-18256,-5512,784
1230859,33.01,-18568,-4952,620
1230876,31.97,-19524,-4456,556
1230893,31.44,-20308,-3784,556
1230910,30.92,-20536,-2960,456
1230927,30.92,-21036,-2344,460
1230944,30.13,-21512,-1620,372
1230961,30.39,-21800,-772,464
1230978,29.88,-21740,100,528
1230995,30.66,-21716,1020,476
1231012,29.88,-21672,1772,444
1231029,30.92,-21296,2588,140
1231046,31.18,-20948,3424,256
1231063,31.18,-20784,4352,304
1231080,31.16,-19740,4740,360
1231097,31.69,-20568,6072,124
1231114,32.76,-19724,6220,608
1231131,33.01,-17600,6252,560
1231148,34.61,-17324,6680,320
1231165,35.38,-17256,7552,92
1231182,35.64,-15732,7332,76
1231199,36.39,-14952,7612,96
1231216,38.04,-14572,8212,180
1231233,37.56,-13624,8068,180
1231250,38.26,-13080,7924,188
1231267,40.11,-12844,8300,188
1231284,39.89,-11712,7948,104
1231301,40.83,-11376,7964,64
1231318,41.76,-11388,8080,-44
1231335,41.30,-10628,7844,180
1231352,41.98,-10328,7980,4
1231369,42.24,-10412,7936,-24
1231386,41.52,-10148,7828,68
1231403,41.54,-9908,7732,-132
1231420,41.52,-8612,5888,96
1231437,41.28,-12568,9860,120
1231454,41.04,-10412,8072,-1920
1231471,40.80,-6752,4812,356
1231488,40.34,-15692,10912,-680
1231505,39.89,-10932,7668,12
1231522,40.11,-9012,6312,444
1231539,38.26,-15232,10016,-556
1231556,38.02,-12424,7632,-448
1231573,37.32,-12440,7344,-296
1231590,36.17,-15972,8980,-364
1231607,37.08,-14144,7476,-304
1231624,35.11,-15428,7376,-332
1231641,34.32,-18304,8132,-364
1231658,34.06,-16340,6764,-28
1231675,33.80,-17924,6616,-348
1231692,32.74,-20540,6608,-232
1231709,31.69,-18344,5136,-52
1231726,31.16,-20104,4748,-324
1231743,31.16,-21876,4356,-220
1231760,30.37,-19984,3116,-192
1231777,30.10,-21268,2448,0
1231794,30.37,-22660,1596,-68
1231811,29.88,-20892,596,-12
1231828,29.89,-21492,-196,220
1231845,30.37,-22084,-1092,48
1231862,30.65,-20864,-2008,352
1231879,30.90,-21008,-2808,328
1231896,30.90,-20924,-3496,340
1231913,31.42,-19700,-4128,508
1231930,31.95,-19348,-4772,572
1231947,33.00,-18900,-5436,584
1231964,33.27,-17388,-5632,568
1231981,34.33,-17768,-6256,680
1231998,34.59,-17376,-7060,924
1232015,35.38,-15168,-6464,676
1232032,36.86,-14700,-6776,752
1232049,37.54,-15280,-7436,824
1232066,38.24,-13492,-6944,708
1232083,38.48,-12588,-6796,956
1232100,38.26,-13304,-7612,924
1232117,39.19,-12108,-7104,784
1232134,39.65,-11464,-6936,896
1232151,40.82,-10528,-6052,568
1232168,40.35,-13268,-8300,720
1232185,40.59,-11472,-7420,1120
1232202,41.50,-8444,-5760,1060
1232219,41.52,-11400,-7448,884
1232236,41.50,-11820,-7204,628
1232253,40.58,-10948,-6856,536
1232270,40.35,-11352,-7128,1000
1232287,40.82,-11812,-7300,1080
1232304,39.65,-11268,-6640,780
1232321,39.19,-12688,-6996,764
1232338,39.87,-13784,-7264,708
1232355,38.04,-12820,-6592,868
1232372,38.26,-13888,-6824,844
1232389,37.56,-15072,-6904,932
1232406,37.32,-14916,-6324,772
1232423,35.36,-16096,-6348,928
1232440,35.11,-16760,-6028,980
1232457,34.33,-16916,-5528,844
1232474,33.27,-18124,-5248,880
1232491,33.01,-18800,-4956,824
1232508,32.46,-18796,-4244,816
1232525,31.44,-19784,-3744,896
1232542,31.44,-20196,-3016,824
1232559,31.44,-20044,-2292,764
1232576,30.65,-21068,-1524,704
1232593,30.39,-21552,-776,604
1232610,29.91,-20948,32,628
1232627,29.88,-21200,876,408
1232644,29.86,-21396,1728,528
1232661,30.39,-20996,2416,372
1232678,30.65,-21080,3112,296
1232695,31.44,-20556,3980,172
1232712,32.22,-19476,4572,560
1232729,31.42,-18052,4788,852
1232746,31.95,-19276,5944,556
1232763,33.01,-18396,6352,272
1232780,33.27,-16408,6404,496
1232797,34.32,-17868,7232,60
1232814,35.89,-16232,7284,8
1232831,36.15,-14860,7088,-40
1232848,36.86,-15580,7984,40
1232865,37.54,-13748,7624,36
1232882,37.80,-13192,7576,24
1232899,38.02,-13476,8216,52
1232916,39.43,-12040,7568,-88
1232933,39.19,-11856,7860,-32
1232950,39.65,-11964,7996,68
1232967,40.83,-11008,7664,-32
1232984,40.37,-10856,7784,-156
1233001,40.59,-10900,7840,-96
1233018,41.52,-10576,7492,-28
1233035,41.98,-10604,7584,-36
1233052,41.52,-7516,5248,-8
1233069,41.76,-14088,10460,324
1233086,40.35,-13548,9416,-1388
1233103,41.28,-5884,4840,880
1233120,39.65,-14628,10164,-1096
1233137,39.20,-13596,8876,-940
1233154,38.72,-8916,6156,-260
1233171,38.98,-13452,8384,-288
1233188,37.56,-15004,8704,-888
1233205,36.87,-11916,6676,-396
1233222,36.63,-15064,8012,-428
1233239,36.39,-16144,8288,-440
1233256,34.87,-14184,6616,-532
1233273,34.59,-17556,7404,-656
1233290,33.53,-17632,6952,-364
1233307,33.27,-16272,5928,-560
1233324,32.22,-19872,6236,-384
1233341,31.69,-19276,5248,-168
1233358,31.18,-18272,4408,-436
1233375,31.18,-21256,4232,-272
1233392,30.90,-20640,3324,-212
1233409,30.65,-19712,2336,-120
1233426,30.39,-22004,1856,-180
1233443,29.88,-20948,892,28
1233460,29.91,-20500,88,112
1233477,30.39,-21836,-720,32
1233494,30.13,-20792,-1480,196
1233511,30.41,-20228,-2324,328
1233528,31.18,-20868,-3212,332
1233545,31.20,-19560,-3660,632
1233562,31.71,-19028,-4324,696
1233579,32.24,-19068,-5028,716
1233596,33.31,-17672,-5364,808
1233613,34.33,-16640,-5408,592
1233630,34.08,-17836,-6304,780
1233647,35.12,-16548,-6592,1052
1233664,35.91,-14448,-6208,900
1233681,36.87,-14924,-6652,872
1233698,37.10,-14828,-7192,892
1233715,36.86,-13140,-6656,1020
1233732,37.82,-12612,-6780,968
1233749,38.72,-13220,-7148,1192
1233766,39.19,-12008,-6852,1028
1233783,39.19,-11048,-6020,1124
1233800,39.43,-13192,-7912,616
1233817,39.67,-12500,-7440,1208
1233834,41.06,-9108,-5952,1036
1233851,39.91,-10952,-6724,968
1233868,41.06,-12796,-7460,772
1233885,40.13,-11240,-6448,600
1233902,40.35,-11284,-6516,916
1233919,39.67,-12536,-7272,1104
1233936,38.50,-11184,-6384,1052
1233953,38.48,-12616,-6664,900
1233970,38.02,-14104,-7200,828
1233987,37.10,-12612,-6308,1084
1234004,37.34,-13952,-6668,928
1234021,37.10,-15240,-6680,1004
1234038,35.64,-14868,-5984,896
1234055,35.40,-15812,-5976,1092
1234072,34.35,-16940,-5904,740
1234089,34.08,-16604,-5404,1016
1234106,33.53,-17604,-5020,1000
1234123,32.50,-18524,-4652,996
1234140,32.76,-18784,-4100,940
1234157,31.44,-19320,-3540,740
1234174,30.92,-20036,-3016,736
1234191,31.44,-19944,-2292,800
1234208,30.65,-20660,-1496,936
1234225,30.89,-21008,-716,764
1234242,29.86,-20656,-28,812
1234259,30.65,-20792,680,652
1234276,29.88,-20676,1544,516
1234293,30.39,-20320,2368,472
1234310,30.13,-20532,2892,416
1234327,30.90,-20224,3744,280
1234344,31.18,-19396,4376,296
1234361,31.20,-18804,4868,696
1234378,31.71,-19356,5592,368
1234395,33.55,-18176,5972,112
1234412,33.29,-16656,6080,308
1234429,33.55,-17720,6932,168
1234446,34.59,-16244,7000,36
1234463,35.65,-14972,6972,8
1234480,35.93,-15556,7744,64
1234497,36.17,-14072,7304,-56
1234514,37.56,-13364,7464,-96
1234531,37.35,-13688,8000,-176
1234548,38.28,-12456,7528,-196
1234565,39.20,-12228,7592,-204
1234582,39.20,-12212,7812,-164
1234599,39.20,-11200,7500,-392
1234616,39.89,-11464,7600,-152
1234633,40.13,-11220,7544,-144
1234650,39.89,-10664,7464,-152
1234667,40.35,-7836,5152,-248
1234684,39.87,-13172,9300,412
1234701,40.59,-11268,8260,-852
1234718,39.65,-7300,4788,-152
1234735,40.58,-15292,9872,-820
1234752,39.41,-11216,7288,-328
1234769,39.43,-9172,5968,8
1234786,38.50,-15736,9232,-1056
1234803,38.04,-12432,7052,-660
1234820,37.10,-11988,6696,-540
1234837,36.86,-15816,8520,-688
1234854,37.08,-13716,6756,-688
1234871,35.64,-14580,6756,-776
1234888,34.59,-17192,7588,-784
1234905,34.32,-15272,6204,-608
